City,State,Price To Income Ratio,Gross Rental Yield City Center,Gross Rental Yield Outside of Center,Price To Rent Ratio City Center,Price To Rent Ratio Outside Of City Center,Mortgage As A Percentage Of Income,Affordability Index
Albany,NY,4.6,6.1,8.4,16.3,11.9,42.0,2.4
Albuquerque,NM,5.1,6.3,8.3,16.0,12.1,45.5,2.2
Alexandria,VA,4.2,8.2,7.8,12.1,12.7,38.4,2.6
Anchorage,AK,3.2,7.9,11.9,12.6,8.4,28.1,3.6
Ann Arbor,MI,3.3,10.1,10.6,9.9,9.4,30.0,3.3
Arlington,VA,5.9,7.8,9.2,12.8,10.9,52.2,1.9
Asheville,NC,4.5,9.4,15.1,10.7,6.6,1717.4,0.1
Atlanta,GA,3.5,10.2,11.5,9.8,8.7,32.2,3.1
Austin,TX,6.8,5.5,8.9,18.3,11.2,62.0,1.6
Bakersfield,CA,2.1,13.9,20.9,7.2,4.8,18.7,5.4
Baltimore,MD,1.7,19.3,19.7,5.2,5.1,15.0,6.7
Bellingham,WA,5.0,5.9,8.6,16.9,11.6,45.5,2.2
Berkeley,CA,4.6,8.1,9.2,12.4,10.9,42.1,2.4
Birmingham,AL,4.3,11.1,12.2,9.0,8.2,39.0,2.6
Boise,ID,5.6,6.8,6.8,14.7,14.7,50.9,2.0
Boston,MA,8.4,5.3,6.4,18.7,15.7,76.7,1.3
Boulder,CO,6.1,5.7,4.7,17.5,21.1,54.3,1.8
Brooklyn,NY,11.7,5.2,5.0,19.2,19.9,104.7,1.0
Buffalo,NY,11.9,3.3,3.7,29.9,26.8,108.7,0.9
Charleston,SC,4.4,8.9,10.1,11.2,9.9,39.7,2.5
Charlotte,NC,4.5,9.4,11.3,10.6,8.8,40.1,2.5
Chattanooga,TN,2.2,12.7,14.0,7.9,7.1,19.9,5.0
Chicago,IL,3.8,9.5,11.5,10.5,8.7,34.5,2.9
Cincinnati,OH,4.6,5.6,9.2,17.9,10.9,40.1,2.5
Cleveland,OH,1.5,23.1,22.9,4.3,4.4,13.6,7.4
Colorado Springs,CO,2.8,10.0,13.5,10.0,7.4,24.9,4.0
Columbia,SC,4.3,4.2,18.4,23.9,5.4,39.9,2.5
Columbus,OH,8.0,4.1,6.4,24.2,15.7,71.2,1.4
Dallas,TX,4.3,8.1,10.2,12.3,9.8,38.2,2.6
Denver,CO,3.9,10.1,9.9,9.9,10.1,35.0,2.9
Detroit,MI,1.3,32.3,17.4,3.1,5.7,11.5,8.7
Durham,NC,2.5,10.4,17.0,9.6,5.9,22.7,4.4
El Paso,TX,1.5,15.3,11.0,6.6,9.1,13.1,7.6
Eugene,OR,4.5,8.7,8.9,11.5,11.3,40.5,2.5
Fairfax,VA,3.4,7.7,11.7,13.0,8.5,31.9,3.1
Fayetteville,AR,3.8,7.2,-,13.8,-,34.3,2.9
Fort Collins,CO,4.0,7.7,10.9,12.9,9.1,36.7,2.7
Fort Lauderdale,FL,3.8,9.4,13.3,10.6,7.5,34.3,2.9
Fort Wayne,IN,2.4,12.9,15.6,7.8,6.4,21.5,4.6
Fort Worth,TX,2.5,12.1,11.1,8.3,9.0,22.9,4.4
Fremont,CA,5.0,4.3,-,23.4,-,44.7,2.2
Fresno,CA,2.3,11.8,17.6,8.5,5.7,21.3,4.7
Gainesville,FL,2.7,16.5,15.7,6.1,6.4,24.2,4.1
Grand Rapids,MI,2.0,16.0,18.7,6.3,5.3,17.8,5.6
Greensboro,NC,2.9,11.9,11.7,8.4,8.6,26.5,3.8
Greenville,SC,3.6,12.4,11.3,8.1,8.8,32.7,3.1
Honolulu,HI,8.8,5.5,6.6,18.3,15.0,79.3,1.3
Houston,TX,4.3,7.3,9.2,13.7,10.9,40.1,2.5
Huntsville,AL,1.4,14.6,12.2,6.9,8.2,12.7,7.9
Indianapolis,IN,2.5,10.9,14.0,9.2,7.1,22.8,4.4
Irvine,CA,6.0,7.1,7.3,14.0,13.8,54.3,1.8
Jacksonville,FL,4.9,7.3,7.3,13.7,13.7,42.6,2.3
Jersey City,NJ,4.2,9.7,13.4,10.3,7.4,37.0,2.7
Kansas City,MO,5.9,6.8,5.4,14.8,18.7,52.8,1.9
Knoxville,TN,3.8,9.9,13.1,10.1,7.6,34.6,2.9
Las Vegas,NV,3.5,11.3,9.9,8.9,10.1,31.6,3.2
Lexington,KY,4.4,9.6,11.4,10.4,8.8,39.6,2.5
Long Beach,CA,8.0,4.8,6.9,20.7,14.4,73.4,1.4
Los Angeles,CA,6.8,6.4,6.6,15.5,15.0,62.5,1.6
Louisville,KY,2.8,9.9,10.0,10.1,10.0,24.9,4.0
Madison,WI,7.5,5.4,6.4,18.5,15.6,66.6,1.5
Memphis,TN,1.4,30.2,13.7,3.3,7.3,12.7,7.8
Mesa,AZ,5.3,4.3,14.4,23.4,6.9,47.1,2.1
Miami,FL,5.4,9.4,12.5,10.6,8.0,49.2,2.0
Milwaukee,WI,6.5,5.0,5.8,19.9,17.4,58.3,1.7
Minneapolis,MN,5.7,4.7,7.2,21.1,13.9,51.6,1.9
Naples,FL,5.7,10.4,10.6,9.6,9.4,54.6,1.8
Nashville,TN,3.6,10.6,12.2,9.5,8.2,32.5,3.1
New Orleans,LA,4.5,9.1,9.1,11.0,10.9,40.8,2.4
New York,NY,10.2,5.4,5.5,18.6,18.3,92.1,1.1
Oakland,CA,7.1,6.8,4.8,14.8,20.8,64.1,1.6
Oklahoma City,OK,4.7,8.5,8.5,11.8,11.7,42.5,2.4
Olympia,WA,3.7,10.0,10.0,10.0,10.0,33.8,3.0
Omaha,NE,5.2,4.8,13.4,21.0,7.5,46.9,2.1
Orlando,FL,4.1,8.4,12.9,11.9,7.8,36.7,2.7
Pensacola,FL,2.2,12.2,11.2,8.2,8.9,20.4,4.9
Philadelphia,PA,4.3,7.8,10.2,12.8,9.8,38.8,2.6
Phoenix,AZ,3.7,9.4,10.5,10.6,9.5,33.1,3.0
Pittsburgh,PA,8.7,5.7,3.0,17.5,33.7,78.9,1.3
Plano,TX,2.1,11.3,15.2,8.9,6.6,19.1,5.2
Portland,OR,6.0,6.2,7.2,16.1,13.9,55.1,1.8
Queens,NY,8.9,4.6,6.2,21.9,16.1,81.1,1.2
Raleigh,NC,7.5,5.5,8.1,18.3,12.3,67.3,1.5
Reno,NV,4.7,8.3,9.2,12.0,10.9,43.0,2.3
Richmond,VA,3.5,6.8,15.4,14.7,6.5,31.8,3.1
Rochester,NY,3.9,8.5,10.5,11.7,9.5,34.5,2.9
Sacramento,CA,6.1,6.5,8.6,15.4,11.6,56.2,1.8
Saint Louis,MO,3.5,9.2,11.4,10.9,8.8,30.5,3.3
Saint Paul,MN,3.3,9.0,11.5,11.1,8.7,29.7,3.4
Saint Petersburg,FL,3.7,13.2,15.2,7.6,6.6,33.9,2.9
Salem,OR,3.1,12.8,10.7,7.8,9.3,28.6,3.5
Salt Lake City,UT,3.4,9.7,11.4,10.3,8.8,30.8,3.2
San Antonio,TX,6.1,6.3,6.4,15.9,15.7,53.9,1.9
San Diego,CA,9.8,5.7,5.2,17.7,19.1,87.4,1.1
San Francisco,CA,8.0,6.1,5.1,16.3,19.8,72.4,1.4
San Jose,CA,10.3,4.0,4.5,24.8,22.2,93.4,1.1
San Mateo,CA,5.4,5.6,-,18.0,-,48.7,2.1
Santa Barbara,CA,9.9,4.5,6.5,22.2,15.4,90.4,1.1
Santa Clara,CA,7.3,4.8,4.5,21.0,22.4,64.3,1.6
Santa Cruz,CA,6.7,7.7,7.2,13.0,14.0,60.6,1.6
Santa Rosa,CA,4.3,10.5,7.3,9.6,13.7,38.3,2.6
Sarasota,FL,8.1,6.5,12.2,15.3,8.2,73.8,1.4
Savannah,GA,4.3,11.4,15.9,8.8,6.3,38.8,2.6
Scottsdale,AZ,4.1,10.0,5.3,10.0,19.0,36.8,2.7
Seattle,WA,6.1,6.3,7.1,15.9,14.1,54.7,1.8
Spokane,WA,3.7,8.7,9.5,11.5,10.5,33.6,3.0
Sunnyvale,CA,7.6,3.9,4.5,25.9,22.0,69.4,1.4
Syracuse,NY,8.3,5.2,7.6,19.3,13.2,73.0,1.4
Tacoma,WA,3.6,9.0,11.8,11.1,8.4,32.7,3.1
Tallahassee,FL,2.5,11.0,13.7,9.1,7.3,23.1,4.3
Tampa,FL,4.8,7.5,11.5,13.3,8.7,41.6,2.4
Tucson,AZ,8.4,3.5,5.6,28.6,17.7,75.4,1.3
Tulsa,OK,1.6,20.0,18.7,5.0,5.4,14.1,7.1
Vancouver,WA,3.4,9.5,13.2,10.5,7.6,30.5,3.3
Virginia Beach,VA,3.1,11.2,11.5,8.9,8.7,28.4,3.5
Washington,DC,7.1,6.0,6.2,16.6,16.0,64.4,1.6
West Palm Beach,FL,2.9,14.3,18.6,7.0,5.4,26.1,3.8
Wichita,KS,1.7,11.7,12.5,8.6,8.0,15.1,6.6
Winston-Salem,NC,8.7,2.8,3.7,36.3,27.0,79.4,1.3
